Alfhild Agrell 	 Guds drömmare 	 1904
Alfhild Agrell 	 Hemma i Jockmock 	 1896
Alfhild Agrell 	 Tjugoandra kapitlet. Hemifrån 	 1892
Alfhild Agrell 	 Nordanfrån [1898] 	 1898
Alfhild Agrell 	 Nordanfrån [1917] 	 1917
Alfhild Agrell 	 På landsbygden 	 1887
Carl Jonas Love Almqvist 	 Samlade Verk 22. Det går an 	 2011
Carl Jonas Love Almqvist 	 Amalia Hillner 	 1995
Carl Jonas Love Almqvist 	 Tre fruar i Småland 	 1998
Carl Jonas Love Almqvist 	 Smaragdbruden 	 2001
Carl Jonas Love Almqvist 	 Samlade Verk 30. Herrarne på Ekolsund 1-2 	 1997
Carl Jonas Love Almqvist 	 Herrarne på Ekolsund 3 	 1997
Dan Andersson 	 Kolarhistorier 	 1914
Hilma Angered Strandberg 	 Ödesglimtar 	 1908
Victoria Benedictsson 	 Folklif och småberättelser 	 1887
Victoria Benedictsson 	 Från Skåne 	 1884
Victoria Benedictsson 	 Fru Marianne 	 1887
Victoria Benedictsson 	 Modern 	 1888
Victoria Benedictsson 	 Pengar 	 1885
Henning Berger 	 Där ute 	 1901
Hjalmar Bergman 	 Amourer 	 1910
Hjalmar Bergman 	 Blå blommor 	 1907
Hjalmar Bergman 	 Hans nåds testamente 	 1910
Hjalmar Bergman 	 Komedier i Bergslagen. Två släkter 	 1914
Hjalmar Bergman 	 Loewenhistorier 	 1913
Hjalmar Bergman 	 Savonarola 	 1909
Hjalmar Bergman 	 Savonarola 	 1909
Hjalmar Bergman 	 Vi Bookar Krokar och Rothar 	 1912
August Blanche 	 Sara Widebeck 	 1840
August Bondeson 	 Skollärare John Chronschoughs memoarer 	 1897
August Bondeson 	 Skollärare John Chronschoughs memoarer. Ny följd 	 1904
Fredrika Bremer 	 Famillen H*** [2000] 	 2000
Fredrika Bremer 	 Grannarne 	 2000
Fredrika Bremer 	 Nya teckningar utur hvardagslifvet 5. Strid och frid 	 1840
Fredrika Bremer 	 Teckningar utur hvardagslifvet 1 	 1828
Frigga Carlberg 	 För rättfärdighets skull 	 1918
